Term,Defintion,Examples (if applicable),Topic
Serial Monitor,Tool in the Arduino IDE to send and receive serial data with the Arduino board. Can be used for input and debugging purposes.,,Fundamentals - Arduino
Constant,"Declared similar to a variable, however the value cannot be changed in code once declared.",MAX_USERS = 5,Fundamentals - Arduino
Sketch,"Arduino Code, with setup() and loop() functions. File extension is .ino",blink.ino,Fundamentals - Arduino
Condition,Statements that are created by the programmer which evaluates actions in the program and evaluates if it's true or false,counter > 10,"Algorithm Design - Decisions, Algorithm Design - Decisions - Godot"
pass,"“Used where a statement is required syntactically but execution of code is undesired, e.g. in empty functions.” https://docs.godotengine.org/en/stable/getting_started/scripting/gdscript/gdscript_basics.html#while",,Algorithm Design - Decisions - Godot
Delta Time,"Delta is the time since the last frame refresh (the frame rate), or more specifically, the time since the last time the _process() function was called. ",,Algorithm Design - Decisions - Godot
Index,"The integer identifying the position in the array. Starts at 0 in most languages. ","0,1,2,3...","Arrays, Data Structures"
Element,The data stored in an index in an set or collection.,Any data stored.,"Arrays, Data Structures"
Array,An array allows you to store a group of items (usually of the same data type) together in memory as a collection. An array is a ordered set.,"""Student Scores"", ""Sensor Data""","Arrays, Data Structures"
Key Value Pair,"An unordered set, with a key and value for each entry. Depending on the language, this may also be referred to as : hash, hashmap, associated array.",User Files (Username: Filename),"Data Structures, Key Value Pair"
Key,Unique identifier of an entry in a dictionary,Word,"Data Structures, Key Value Pair"
Value,The value associated with a key in a dictionary.,Definition,"Data Structures, Key Value Pair"
Lower Camel Case,"Starts with a lowercase, every subsequent word has a capital letter. There are no spaces, or other characters separating the words.","userName, thisVariable",Naming Conventions
Upper Camel Case,"The start of each word is capitalised. There are no spaces, or other characters separating the words.",UserName,Naming Conventions
Snake Case (also called Python Case),"All lowercase, each word separated by an underscore (_)",list_of_user_names,Naming Conventions
Hungarian Notation,"The data type of the variable is included in the name, as a three letter identifier at the start of the code","intScore, str",Naming Conventions
IDE,"Integrated Development Environment. The program used to code, which typically provides the developer different tools to assist the development process - not just a text editor.","IDLE, Pycharm, Arduino IDE, Visual Studio, Visual Studio Code, Godot","Fundamentals, Fundamentals - Godot"
Programming,Giving instructions to the computer to execute.,,Fundamentals
Top Down Approach,,,Computational Thinking
Bottom Up Approach,,,Computational Thinking
Pattern Recognition ,looking for similarities among and within problems,,Computational Thinking
Decomposition,"breaking down a complex problem or system into smaller, more manageable parts",,Computational Thinking
Algorithms,"eveloping a step-by-step solution to the problem, or the rules to follow to solve the problem",,Computational Thinking
Abstraction," focusing on the important information only, ignoring irrelevant detail",,Computational Thinking
Variables,,,Variables
Data Type,The type of information being stored in a variable. Instructs the device to allocate and structure the required memory.,"Integer, String, Character, Boolean",Variables
Sequence,If a set of instructions are executed in the order that they appear (from the top to the bottom),,Algorithm Design - Sequence
Semicolon,Used to identify the end of a statement of code.,;,"Algorithm Design - Sequence, Arduino"
Parentheses - (),"Parentheses are used in conditions, function arguments and parameters and a few other instances.",loop(),Algorithm Design - Sequence
