Topic,Assessment Marked,Date,Days Left,Page,Unit
All Students,No,"January 31, 2023",-22,,School
Anzac Day public holiday,No,"April 25, 2022 → April 25, 2022",-303,,School
AST,No,"September 6, 2022 → September 7, 2022",-169,,School
AST Trials,No,"June 22, 2023 → June 23, 2023",119,,School
AST Trials - Year 12,No,"June 20, 2022 → June 21, 2022",-247,,School
Breakout Timetable,No,"August 7, 2022 → August 13, 2022",-199,,School
Breakout Week,No,"February 20, 2023 → February 24, 2023",-2,,School
Canberra Day,No,"March 13, 2023",18,,School
Canberra Day,No,"March 14, 2022",-345,,School
Cross Line Exams,No,"June 15, 2023 → June 21, 2023",112,,School
Cross Line Exams,No,"November 16, 2022 → November 18, 2022",-98,,School
Cross Line Exams,No,"June 15, 2022 → June 17, 2022",-252,,School
Cross Line Exams,No,"March 30, 2022",-329,,School
Cross Line Testing,No,"March 30, 2023 → March 31, 2023",35,,School
Good Friday,No,"April 7, 2023",43,,School
Kings Birthday,No,"June 12, 2023",109,,School
Last Day Of Classes,No,"November 15, 2022",-99,,School
Moderation Day,No,"February 28, 2023",5,,School
Moderation Day,No,"August 17, 2023",175,,School
Moderation Day - No Classes,No,"March 1, 2022",-358,,School
New Students Day,No,"January 30, 2023",-23,,School
New Students Day,No,"January 31, 2022",-387,,School
Project X Expo,No,"November 10, 2022",-104,,School
Pupil Free Day,No,"October 28, 2022",-117,,School
Q2 Begins,No,"April 3, 2023",39,,School
Queen's Birthday,No,"June 13, 2022",-254,,School
Reconciliation Day,No,"May 29, 2023",95,,School
Reconciliation Day,No,"May 30, 2022",-268,,School
School Holidays,No,"July 2, 2023 → July 15, 2023",129,,School
School Holidays,No,"April 9, 2023 → April 22, 2023",45,,School
School Holidays,No,"July 3, 2022 → July 16, 2022",-234,,School
School Holidays,No,"April 10, 2022 → April 23, 2022",-318,,School
School Holidays,No,"September 25, 2022 → October 8, 2022",-150,,School
👑Public holiday,No,"September 22, 2022",-153,,School
🟥 AST Incursion - Year 12 T Students,No,"September 2, 2022",-173,,School
🟥 Cross Line Exams,No,"September 9, 2022 → September 12, 2022",-166,,School
🟥 Moderation Day,No,"August 18, 2022",-188,,School
🟥 Pupil Free Day,No,"September 8, 2022",-167,,School
🟥 Pupil Free Day,No,"August 5, 2022",-201,,School
🟥 Q4 Start,No,"September 13, 2022",-162,,School
Assessment 1,No,"February 24, 2023 → February 24, 2023",1,,"Assessment Due Date, Digital Solutions - ISD"
Assessment 1 Due,Yes,"March 14, 2022",-345,,"Assessment Due Date, Digital Solutions - ISD"
Assessment 1 Due,Yes,"March 25, 2022",-334,,"Assessment Due Date, Digital Assets - ISD"
Assessment 1 Due,Yes,"March 25, 2022",-334,,"Assessment Due Date, Digital Assets - Web Development"
Assessment 1 Due,Yes,"March 25, 2022",-334,,"Assessment Due Date, Building and Programming Circuits"
Assessment 1 Due,Yes,"March 14, 2022",-345,,"Application Of Robotics, Assessment Due Date"
Assessment 2 - Exam,Yes,"March 28, 2022",-331,,"Assessment Due Date, Digital Assets - Web Development"
Assessment 2 - Exam,Yes,"March 28, 2022",-331,,"Assessment Due Date, Building and Programming Circuits"
Assessment 2 - Exam,Yes,"March 28, 2022",-331,,"Assessment Due Date, Digital Assets - ISD"
Assessment 2 - Project Part A Due,Yes,"April 8, 2022",-320,,"Application Of Robotics, Assessment Due Date"
Assessment 2 - Project Part A Due,Yes,"April 7, 2022",-321,,"Assessment Due Date, Digital Solutions - ISD"
Assessment 2 Due,No,"March 24, 2023",29,,"Assessment Due Date, Digital Solutions - ISD"
Assessment 3 - Project Part B Due,Yes,"May 22, 2022",-276,,"Application Of Robotics, Assessment Due Date"
Assessment 3 - Project Part B Due,Yes,"May 22, 2022",-276,,"Assessment Due Date, Digital Solutions - ISD"
Assessment 3 Due,No,"June 7, 2023",104,,"Assessment Due Date, Digital Solutions - Web"
Assessment 3 Due,No,"June 7, 2023",104,,"Assessment Due Date, Digital Solutions - ISD"
Assessment 3 Due,Yes,"May 22, 2022",-276,,"Assessment Due Date, Building and Programming Circuits"
Assessment 3 Due,Yes,"May 22, 2022",-276,,"Assessment Due Date, Digital Assets - Web Development"
Assessment 3 Due,Yes,"May 22, 2022",-276,,"Assessment Due Date, Digital Assets - ISD"
Assessment 4 Due,Yes,"June 15, 2022",-252,,"Assessment Due Date, Digital Assets - ISD"
Assessment 4 Due,Yes,"June 15, 2022",-252,,"Assessment Due Date, Building and Programming Circuits"
Assessment 4 Due,Yes,"June 15, 2022",-252,,"Application Of Robotics, Assessment Due Date"
Assessment 4 Due,Yes,"June 15, 2022",-252,,"Assessment Due Date, Digital Solutions - ISD"
Assessment 4 Due,Yes,"June 15, 2022",-252,,"Assessment Due Date, Digital Assets - Web Development"
Week 0,No,"January 23, 2022",-395,,Weeks
Week 1,No,"January 29, 2023",-24,,Weeks
Week 1,No,"July 17, 2022",-220,,Weeks
Week 1,No,"January 30, 2022",-388,,Weeks
Week 10,No,"April 2, 2023",38,,Weeks
Week 10,No,"September 18, 2022",-157,,Weeks
Week 10,No,"April 3, 2022",-325,,Weeks
Week 11,No,"April 23, 2023",59,,Weeks
Week 11,No,"October 9, 2022",-136,,Weeks
Week 11,No,"April 24, 2022",-304,,Weeks
Week 12,No,"April 30, 2023",66,,Weeks
Week 12,No,"October 16, 2022",-129,,Weeks
Week 12,No,"May 1, 2022",-297,,Weeks
Week 13,No,"May 7, 2023",73,,Weeks
Week 13,No,"October 23, 2022",-122,,Weeks
Week 13,No,"May 8, 2022",-290,,Weeks
Week 14,No,"May 14, 2023",80,,Weeks
Week 14,No,"October 30, 2022",-115,,Weeks
Week 14,No,"May 15, 2022",-283,,Weeks
Week 15,No,"May 21, 2023",87,,Weeks
Week 15,No,"November 6, 2022",-108,,Weeks
Week 15,No,"May 22, 2022",-276,,Weeks
Week 16,No,"May 28, 2023",94,,Weeks
Week 16,No,"November 13, 2022",-101,,Weeks
Week 16,No,"May 29, 2022",-269,,Weeks
Week 17,No,"June 4, 2023",101,,Weeks
Week 17,No,"November 20, 2022",-94,,Weeks
Week 17,No,"June 5, 2022",-262,,Weeks
Week 18,No,"June 11, 2023",108,,Weeks
Week 18,No,"November 27, 2022",-87,,Weeks
Week 18,No,"June 12, 2022",-255,,Weeks
Week 19,No,"June 18, 2023",115,,Weeks
Week 19,No,"December 4, 2022",-80,,Weeks
Week 19,No,"June 19, 2022",-248,,Weeks
Week 2,No,"February 5, 2023",-17,,Weeks
Week 2,No,"July 24, 2022",-213,,Weeks
Week 2,No,"February 6, 2022",-381,,Weeks
Week 20,No,"June 25, 2023",122,,Weeks
Week 20,No,"December 11, 2022",-73,,Weeks
Week 20,No,"June 26, 2022",-241,,Weeks
Week 3,No,"February 12, 2023",-10,,Weeks
Week 3,No,"July 31, 2022",-206,,Weeks
Week 3,No,"February 13, 2022",-374,,Weeks
Week 4,No,"February 19, 2023",-3,,Weeks
Week 4,No,"August 7, 2022",-199,,Weeks
Week 4,No,"February 20, 2022",-367,,Weeks
Week 5,No,"February 26, 2023",3,,Weeks
Week 5,No,"August 14, 2022",-192,,Weeks
Week 5,No,"February 27, 2022",-360,,Weeks
Week 6,No,"March 5, 2023",10,,Weeks
Week 6,No,"August 21, 2022",-185,,Weeks
Week 6,No,"March 6, 2022",-353,,Weeks
Week 7,No,"March 12, 2023",17,,Weeks
Week 7,No,"August 28, 2022",-178,,Weeks
Week 7,No,"March 13, 2022",-346,,Weeks
Week 8,No,"March 19, 2023",24,,Weeks
Week 8,No,"September 4, 2022",-171,,Weeks
Week 8,No,"March 20, 2022",-339,,Weeks
Week 9,No,"March 26, 2023",31,,Weeks
Week 9,No,"September 11, 2022",-164,,Weeks
Week 9,No,"March 27, 2022",-332,,Weeks
Algorithm Design - Decisions,No,"February 13, 2023 → February 17, 2023",-9,,Building and Programming Circuits
Algorithm Design - Decisions,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/cab23d4a25634c4b90857cf615d8bc2f ",Building and Programming Circuits
Algorithm Design - Loops,No,"February 27, 2023 → March 3, 2023",4,,Building and Programming Circuits
Algorithm Design - Loops,No,"February 21, 2022 → February 25, 2022",-366,"https://www.notion.so/67a3cb23397c46efab66f3ded66c5086 ",Building and Programming Circuits
Algorithm Design - Modularisation,No,"February 21, 2022 → February 25, 2022",-366,"https://www.notion.so/76431fab8c6d439eb7f9533522a0b59a ",Building and Programming Circuits
Algorithm Design - Sequences,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/803dc7ec162c4688a5ea41313cc409ec ",Building and Programming Circuits
Analysis,No,"May 15, 2023 → May 19, 2023",81,,Building and Programming Circuits
Analysis,No,"May 16, 2022 → May 20, 2022",-282,,Building and Programming Circuits
Assessment 1,No,"February 22, 2023 → February 22, 2023",0,,"Assessment Due Date, Building and Programming Circuits"
Assessment 1 - Bank Alarm,No,"March 7, 2022 → March 24, 2022",-352,"https://www.notion.so/bbf5f152ab44477c9df1792ef61ea785 ",Building and Programming Circuits
Assessment 2 - Theory Exam,No,"March 22, 2023",27,,"Assessment Due Date, Building and Programming Circuits"
Assessment 3 Due,No,"June 9, 2023",106,,"Assessment Due Date, Building and Programming Circuits"
Assessment Finalisation,No,"June 6, 2022 → June 8, 2022",-261,"https://www.notion.so/3848a3fc30e94f78b9d7e837a3669389 ",Building and Programming Circuits
Banner,No,"May 8, 2023 → May 12, 2023",74,"https://www.notion.so/6a53096812534a998b63af53182d5949 ",Building and Programming Circuits
Banner,No,"May 9, 2022 → May 13, 2022",-289,"https://www.notion.so/6a53096812534a998b63af53182d5949 ",Building and Programming Circuits
Behaviours,No,"April 3, 2023 → April 6, 2023",39,"https://www.notion.so/3d49c5dec874498ba20b5ae89bb3b6b6 ",Building and Programming Circuits
Behaviours,No,"April 4, 2022 → April 8, 2022",-324,"https://www.notion.so/3d49c5dec874498ba20b5ae89bb3b6b6 ",Building and Programming Circuits
